PING 196.245.9.52 (196.245.9.52) 56(84) bytes of data.
64 bytes from 196.245.9.52: icmp_seq=1 ttl=41 time=60.7 ms
64 bytes from 196.245.9.52: icmp_seq=2 ttl=41 time=60.5 ms
64 bytes from 196.245.9.52: icmp_seq=3 ttl=41 time=60.6 ms
64 bytes from 196.245.9.52: icmp_seq=4 ttl=41 time=61.0 ms
64 bytes from 196.245.9.52: icmp_seq=5 ttl=41 time=60.7 ms
64 bytes from 196.245.9.52: icmp_seq=6 ttl=41 time=60.6 ms
64 bytes from 196.245.9.52: icmp_seq=7 ttl=41 time=60.7 ms
64 bytes from 196.245.9.52: icmp_seq=8 ttl=41 time=60.6 ms
64 bytes from 196.245.9.52: icmp_seq=9 ttl=41 time=60.5 ms
64 bytes from 196.245.9.52: icmp_seq=10 ttl=41 time=60.6 ms
64 bytes from 196.245.9.52: icmp_seq=11 ttl=41 time=60.6 ms
64 bytes from 196.245.9.52: icmp_seq=12 ttl=41 time=60.6 ms
64 bytes from 196.245.9.52: icmp_seq=13 ttl=41 time=60.5 ms
64 bytes from 196.245.9.52: icmp_seq=14 ttl=41 time=60.5 ms
64 bytes from 196.245.9.52: icmp_seq=15 ttl=41 time=60.5 ms
64 bytes from 196.245.9.52: icmp_seq=16 ttl=41 time=60.6 ms
64 bytes from 196.245.9.52: icmp_seq=17 ttl=41 time=60.6 ms
64 bytes from 196.245.9.52: icmp_seq=18 ttl=41 time=60.6 ms
64 bytes from 196.245.9.52: icmp_seq=19 ttl=41 time=60.7 ms
64 bytes from 196.245.9.52: icmp_seq=20 ttl=41 time=60.8 ms
64 bytes from 196.245.9.52: icmp_seq=21 ttl=41 time=60.6 ms
64 bytes from 196.245.9.52: icmp_seq=22 ttl=41 time=60.7 ms
64 bytes from 196.245.9.52: icmp_seq=23 ttl=41 time=60.7 ms
64 bytes from 196.245.9.52: icmp_seq=24 ttl=41 time=60.6 ms
64 bytes from 196.245.9.52: icmp_seq=25 ttl=41 time=60.7 ms
64 bytes from 196.245.9.52: icmp_seq=26 ttl=41 time=60.7 ms
64 bytes from 196.245.9.52: icmp_seq=27 ttl=41 time=60.6 ms
64 bytes from 196.245.9.52: icmp_seq=28 ttl=41 time=60.7 ms
64 bytes from 196.245.9.52: icmp_seq=29 ttl=41 time=60.8 ms
64 bytes from 196.245.9.52: icmp_seq=30 ttl=41 time=60.6 ms
64 bytes from 196.245.9.52: icmp_seq=31 ttl=41 time=60.6 ms
64 bytes from 196.245.9.52: icmp_seq=32 ttl=41 time=60.7 ms
64 bytes from 196.245.9.52: icmp_seq=33 ttl=41 time=60.6 ms
64 bytes from 196.245.9.52: icmp_seq=34 ttl=41 time=60.5 ms
64 bytes from 196.245.9.52: icmp_seq=35 ttl=41 time=60.7 ms
64 bytes from 196.245.9.52: icmp_seq=36 ttl=41 time=60.7 ms
64 bytes from 196.245.9.52: icmp_seq=37 ttl=41 time=60.7 ms
64 bytes from 196.245.9.52: icmp_seq=38 ttl=41 time=60.7 ms
64 bytes from 196.245.9.52: icmp_seq=39 ttl=41 time=60.7 ms
64 bytes from 196.245.9.52: icmp_seq=40 ttl=41 time=60.6 ms
64 bytes from 196.245.9.52: icmp_seq=41 ttl=41 time=60.6 ms
64 bytes from 196.245.9.52: icmp_seq=42 ttl=41 time=60.6 ms
64 bytes from 196.245.9.52: icmp_seq=43 ttl=41 time=60.7 ms
64 bytes from 196.245.9.52: icmp_seq=44 ttl=41 time=60.9 ms
64 bytes from 196.245.9.52: icmp_seq=45 ttl=41 time=60.5 ms
64 bytes from 196.245.9.52: icmp_seq=46 ttl=41 time=60.7 ms
64 bytes from 196.245.9.52: icmp_seq=47 ttl=41 time=60.7 ms
64 bytes from 196.245.9.52: icmp_seq=48 ttl=41 time=60.7 ms
64 bytes from 196.245.9.52: icmp_seq=49 ttl=41 time=60.5 ms
64 bytes from 196.245.9.52: icmp_seq=50 ttl=41 time=60.7 ms

--- 196.245.9.52 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49051ms
rtt min/avg/max/mdev = 60.529/60.695/61.016/0.184 ms
