PING 172.98.86.228 (172.98.86.228) 56(84) bytes of data.
64 bytes from 172.98.86.228: icmp_seq=1 ttl=51 time=65.1 ms
64 bytes from 172.98.86.228: icmp_seq=2 ttl=51 time=65.1 ms
64 bytes from 172.98.86.228: icmp_seq=3 ttl=51 time=65.1 ms
64 bytes from 172.98.86.228: icmp_seq=4 ttl=51 time=65.2 ms
64 bytes from 172.98.86.228: icmp_seq=5 ttl=51 time=65.4 ms
64 bytes from 172.98.86.228: icmp_seq=6 ttl=51 time=64.9 ms
64 bytes from 172.98.86.228: icmp_seq=7 ttl=51 time=65.1 ms
64 bytes from 172.98.86.228: icmp_seq=8 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=9 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=10 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=11 ttl=51 time=65.1 ms
64 bytes from 172.98.86.228: icmp_seq=12 ttl=51 time=65.1 ms
64 bytes from 172.98.86.228: icmp_seq=13 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=14 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=15 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=16 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=17 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=18 ttl=51 time=65.1 ms
64 bytes from 172.98.86.228: icmp_seq=19 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=20 ttl=51 time=65.1 ms
64 bytes from 172.98.86.228: icmp_seq=21 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=22 ttl=51 time=65.2 ms
64 bytes from 172.98.86.228: icmp_seq=23 ttl=51 time=65.1 ms
64 bytes from 172.98.86.228: icmp_seq=24 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=25 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=26 ttl=51 time=65.1 ms
64 bytes from 172.98.86.228: icmp_seq=27 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=28 ttl=51 time=65.1 ms
64 bytes from 172.98.86.228: icmp_seq=29 ttl=51 time=65.3 ms
64 bytes from 172.98.86.228: icmp_seq=30 ttl=51 time=65.1 ms
64 bytes from 172.98.86.228: icmp_seq=31 ttl=51 time=65.1 ms
64 bytes from 172.98.86.228: icmp_seq=32 ttl=51 time=65.4 ms
64 bytes from 172.98.86.228: icmp_seq=33 ttl=51 time=65.4 ms
64 bytes from 172.98.86.228: icmp_seq=34 ttl=51 time=65.1 ms
64 bytes from 172.98.86.228: icmp_seq=35 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=36 ttl=51 time=65.1 ms
64 bytes from 172.98.86.228: icmp_seq=37 ttl=51 time=65.1 ms
64 bytes from 172.98.86.228: icmp_seq=38 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=39 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=40 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=41 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=42 ttl=51 time=65.8 ms
64 bytes from 172.98.86.228: icmp_seq=43 ttl=51 time=66.0 ms
64 bytes from 172.98.86.228: icmp_seq=44 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=45 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=46 ttl=51 time=65.1 ms
64 bytes from 172.98.86.228: icmp_seq=47 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=48 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=49 ttl=51 time=65.0 ms
64 bytes from 172.98.86.228: icmp_seq=50 ttl=51 time=65.1 ms

--- 172.98.86.228 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49063ms
rtt min/avg/max/mdev = 64.997/65.161/66.074/0.204 ms
