PING 31.171.152.244 (31.171.152.244) 56(84) bytes of data.
64 bytes from 31.171.152.244: icmp_seq=1 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=2 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=3 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=4 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=5 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=6 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=7 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=8 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=9 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=10 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=11 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=12 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=13 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=14 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=15 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=16 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=17 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=18 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=19 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=20 ttl=27 time=206 ms
64 bytes from 31.171.152.244: icmp_seq=21 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=22 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=23 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=24 ttl=27 time=203 ms
64 bytes from 31.171.152.244: icmp_seq=25 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=26 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=27 ttl=27 time=201 ms
64 bytes from 31.171.152.244: icmp_seq=28 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=29 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=30 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=31 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=32 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=33 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=34 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=35 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=36 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=37 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=38 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=39 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=40 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=41 ttl=27 time=201 ms
64 bytes from 31.171.152.244: icmp_seq=42 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=43 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=44 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=45 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=46 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=47 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=48 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=49 ttl=27 time=200 ms
64 bytes from 31.171.152.244: icmp_seq=50 ttl=27 time=200 ms

--- 31.171.152.244 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49072ms
rtt min/avg/max/mdev = 200.361/200.734/206.165/0.972 ms
