PING 82.102.28.35 (82.102.28.35) 56(84) bytes of data.
64 bytes from 82.102.28.35: icmp_seq=1 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=2 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=3 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=4 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=5 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=6 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=7 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=8 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=9 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=10 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=11 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=12 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=13 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=14 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=15 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=16 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=17 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=18 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=19 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=20 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=21 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=22 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=23 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=24 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=25 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=26 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=27 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=28 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=29 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=30 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=31 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=32 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=33 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=34 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=35 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=36 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=37 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=38 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=39 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=40 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=41 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=42 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=43 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=44 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=45 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=46 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=47 ttl=44 time=121 ms
64 bytes from 82.102.28.35: icmp_seq=48 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=49 ttl=44 time=120 ms
64 bytes from 82.102.28.35: icmp_seq=50 ttl=44 time=121 ms

--- 82.102.28.35 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49063ms
rtt min/avg/max/mdev = 120.857/121.014/121.688/0.437 ms
